id,colors.0.r,colors.0.g,colors.0.b,colors.1.r,colors.1.g,colors.1.b,colors.0.hex,colors.1.hex
10001,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10002,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10004,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10005,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10006,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10008,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10009,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10010,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10012,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10013,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10014,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10015,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10016,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10017,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10018,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10020,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10021,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10022,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10023,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10026,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10028,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10030,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10031,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10032,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10033,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10034,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10036,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10039,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10041,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10042,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10043,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10044,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10045,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10047,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10048,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10049,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10050,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10052,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10053,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10054,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10055,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10056,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10057,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10058,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10059,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10060,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10061,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10063,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10064,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10065,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10067,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10068,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10069,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10070,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10071,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10076,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10077,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10078,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10079,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10083,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10084,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10085,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10086,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10087,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10090,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10091,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10092,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10096,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10097,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10098,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10099,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10102,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10105,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10107,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10108,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10110,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10111,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10113,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10114,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10116,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10117,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10118,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10119,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10121,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10122,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10124,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10125,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10127,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10128,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10129,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10130,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10132,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10133,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10135,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10136,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10137,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10138,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10140,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10141,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10142,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10143,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10144,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10145,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10147,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10149,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10150,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10153,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10154,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10157,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10158,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10159,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10161,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10162,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10163,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10164,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10167,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10168,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10170,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10172,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10173,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10174,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10175,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10176,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10177,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10178,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10180,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10183,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10184,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10186,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10189,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10190,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10191,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10192,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10193,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10194,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10195,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10199,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10201,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10202,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10204,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10206,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10207,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10212,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10213,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10215,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10217,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10218,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10219,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10220,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10221,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10222,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10223,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10224,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10225,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10226,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10227,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10228,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10234,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10237,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10239,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10241,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10242,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10243,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10244,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10245,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10246,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10247,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10248,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10249,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10250,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10251,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10252,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10254,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10256,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10258,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10260,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10261,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10262,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10263,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10264,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10267,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10268,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10269,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10271,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10272,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10273,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10274,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10275,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10276,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10281,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10282,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10283,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10285,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10286,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10287,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10288,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10289,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10291,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10292,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10294,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10295,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10296,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10297,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10299,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10300,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10303,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10305,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10306,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10307,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10308,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
10309,1.0,0.0,0.0,0.0,1.0,0.0,#ff0000,#00ff00
